idx,lp,name,token_adr,pool_adr,tvl,borrow,utilization
53,0xc380e7FA325E1708e9E6eF4D9beD2CD806fcB328,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0x8fa2fDFf3A57a1a44fD111945D05070cAD0a44cC,21926,13324,60.77
54,0x2383B93CFa6ddd9a7b35ddFfD8d527E7aB80b920,WMATIC,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,0xC5bC224A428FF2053FcEF53e8E69CA2B51C83BDB,20221,14574,72.08
54,0x2383B93CFa6ddd9a7b35ddFfD8d527E7aB80b920,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0x0343FF54cDCfdD4b3513ecdb4B1c107FD31b55dA,12482,9083,72.77
55,0x989c133E09604b4C8e0ca0cD692fa5570F670b48,WMATIC,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,0x7d7a629b460db6c1d9b76E574DdA903b2B349DB9,5,0,0.28
55,0x989c133E09604b4C8e0ca0cD692fa5570F670b48,QUICK,0x831753DD7087CaC61aB5644b308642cc1c33Dc13,0x8dDf98de26A5516C47c7e95A266f713819d27B30,0,0,12.22
56,0x2912A338DF9877905e54c557e4d826f84365602e,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0xe1a2711DB8dA1C06e76956746C69d34674ABa53E,9949,7472,75.10
56,0x2912A338DF9877905e54c557e4d826f84365602e,USDT,0xc2132D05D31c914a87C6611C10748AEb04B58e8F,0x64Ce3E18c091468ACF30bd861692A74ce48a0C7C,13063,8463,64.79
57,0x8f7F8a534F6a7d57FbdA855Cf3588eB1eDc4508B,WBTC,0x1BFD67037B42Cf73acF2047067bd4F2C47D9BfD6,0x4A6B7e7cc80E8E134928156d443B3b688a9E88CA,146855,65199,44.40
57,0x8f7F8a534F6a7d57FbdA855Cf3588eB1eDc4508B,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0xbd25cE08CeE4CC13e974191Ed71308C9cdf4143b,111835,67458,60.32
58,0xc6c866c2C69FF093E14746E6F9dbc7A22E0e6522,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0x767E32accedf27e8eB66e08Fa520E72a19D48dd6,1585,1643,103.64
58,0xc6c866c2C69FF093E14746E6F9dbc7A22E0e6522,AAVE,0xD6DF932A45C0f255f85145f286eA0b292B21C90B,0x674a41DC6e3FB69C0F64049394D25937aD407E90,2255,1546,68.55
59,0x16AEd35D0c1f5500b73063b10C0dAd42B772ac23,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0xE3d479168d249B8B4488487715ff7d1B169660C3,6052,4427,73.15
59,0x16AEd35D0c1f5500b73063b10C0dAd42B772ac23,DAI,0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063,0x51BE2DF2EaeCcEaa2DE304047567FC8c89A8dF4A,8924,6753,75.67
60,0xc3a4C0677b033BF6e9a4E22f930f1D60c5Cd2c86,miMATIC,0xa3Fa99A148fA48D14Ed51d610c367C61876997F1,0x05ab5067f90E315c7edBb48328f03daA4F59D8Cc,142840,121550,85.10
60,0xc3a4C0677b033BF6e9a4E22f930f1D60c5Cd2c86,USDT,0xc2132D05D31c914a87C6611C10748AEb04B58e8F,0x0065A0effbb58e4BeB2f3A40fDcA740F85585213,175287,106337,60.66
61,0xb48E8C226facb7aDE62ab0CA8588789aAA1428aA,QI,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0x199c302AFEC0504557668981Af7DcB03Fb967B1D,1869,2090,111.86
61,0xb48E8C226facb7aDE62ab0CA8588789aAA1428aA,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0xE5D38FeAf823f8c97CA87B02bc21CCc37ec7FDeb,5537,2093,37.80
62,0x6D59C06a7f96a508310A76Da84dB397819E29c62,DAI,0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063,0x050438De4145341F56D69caD8BB4323044a1d361,359793,182084,50.61
62,0x6D59C06a7f96a508310A76Da84dB397819E29c62,miMATIC,0xa3Fa99A148fA48D14Ed51d610c367C61876997F1,0x2bBB98FB2a0D9D86b79506Ef7A1EEA456345F97f,176184,151694,86.10
63,0x0c7fEaa175F62779be13cDD4Fe878e55Ee70179e,LINK,0x53E0bca35eC356BD5ddDFebbD1Fc0fD03FaBad39,0x63D2260c18B51dd6eeF5Ce2aD5Ed05A0c535B7da,15835,10330,65.24
63,0x0c7fEaa175F62779be13cDD4Fe878e55Ee70179e,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0x2eFb44a1Fca0932eABFD4269Be4FC6B4EDB48F2a,22008,15266,69.36
64,0x3e115a3aF5a58C73571586468B0f5d08BfE9dab1,USDC,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,0xb89a6b6AADA6CF0a5c5357dbaA404c32D1be4289,346794,129075,37.22
64,0x3e115a3aF5a58C73571586468B0f5d08BfE9dab1,USDT,0xc2132D05D31c914a87C6611C10748AEb04B58e8F,0xEaB52C4eFBbB54505EB3FC804A29Dcf263668965,184325,120510,65.38
65,0xb361E254dAe512A7bd37f72B926f625f4D39dB56,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0xbd19b165d02d168a3b1Ad091b6Fc6c81d179FB4a,16822,12976,77.14
65,0xb361E254dAe512A7bd37f72B926f625f4D39dB56,UNI,0xb33EaAd8d922B1083446DC23f610c2567fB5180f,0xb279613b4E20E936505B57bb90b7e5f81A407cE4,13536,9251,68.34
66,0x705fC5381B94d32870039Cf9913248a710b6a7C7,USDC,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,0x3E442a5cE73adf354A6fac822B19385d0cE47021,0,0,0.00
66,0x705fC5381B94d32870039Cf9913248a710b6a7C7,DAI,0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063,0x7ECE69b19a818A210cDE25794b04339F104BA005,0,0,0.00
67,0x9fe19411bDD31C13C1a51E781ED0730d63C1cdD2,DAI,0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063,0x1FD35738c31D075d65A848F79ab693073622C53f,0,0,2.01
67,0x9fe19411bDD31C13C1a51E781ED0730d63C1cdD2,USDT,0xc2132D05D31c914a87C6611C10748AEb04B58e8F,0x25f0cB30b64D48c70C5c2097e1947BCbcc95EDc0,0,0,1.99
68,0x8ce3bf56767dD87E87487f3fae63e557B821Ea32,IMX,0x60bB3D364B765C497C8cE50AE0Ae3f0882c5bD05,0xD975dd3C2BF28Ecd14034292D040C9F2dfa42534,75035,58419,77.86
68,0x8ce3bf56767dD87E87487f3fae63e557B821Ea32,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0x64427F9C617604eaC5e1aCC2261B59B58beCCf4d,124905,70896,56.76
69,0xD4f5F9643A4368324aC920414781B1c5655BaeD1,IMX,0x60bB3D364B765C497C8cE50AE0Ae3f0882c5bD05,0xE9bFA1D69cc430254bb860a1A0F4A80F7bF81321,0,0,6.85
69,0xD4f5F9643A4368324aC920414781B1c5655BaeD1,QUICK,0x831753DD7087CaC61aB5644b308642cc1c33Dc13,0x27d6d1721348689f48B49643138c4AE96461b7Fe,11,0,0.02
70,0x9E50b34632cdBb19E67d4F0A206050dffB5a4320,polyBUNNY,0x4C16f69302CcB511c5Fac682c7626B9eF0Dc126a,0xdcb6a30233Ea7e448cC633A6472caa609F9eA29e,0,0,0.00
70,0x9E50b34632cdBb19E67d4F0A206050dffB5a4320,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0xd1bccE93Ba37a4bd0f4B3B32E2b8A476F4e840EB,0,0,NaN
71,0xd83a3ddC19A651F79970291d71b41Be5509e7c66,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0xC88dbf011F16267A33efAA730a00dE23Cb520b51,36972,23191,62.73
71,0xd83a3ddC19A651F79970291d71b41Be5509e7c66,DPI,0x85955046DF4668e1DD369D2DE9f3AEB98DD2A369,0x47351BeF96882cDFf66c9426d62b27DF3b840bBB,80907,29273,36.18
72,0xa13C38e12B1d516634dCFeB80ABE620aEDFcf0D0,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0x43Eb908841d9C9D9bb499d5095c783531FA2Efa8,90596,69131,76.31
72,0xa13C38e12B1d516634dCFeB80ABE620aEDFcf0D0,MVI,0xfe712251173A2cd5F5bE2B46Bb528328EA3565E1,0xd74A7CcF20BF934393b29A6db14a120B5dD0802B,69213,57466,83.03
