idx, lp_name, lp_address, token0, token0_name, token1, token1_name, pool, rewardAmount, vault, weekRewardUsd, tvlUsd, apr, currentRewards
12,QUICK_LINK_WETH,0x5cA6CA6c3709E1E6CFe74a50Cf6B2B6BA2Dadd67,0x53E0bca35eC356BD5ddDFebbD1Fc0fD03FaBad39,LINK,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,0x1b077a0586b2ABD4062a39E6368E256dB2F723c4,16230.62,0x778945f3b35a533f5593a5b38d93e79ec76bff51,16230.62,19744676.54,4.29,22288.3354666121
13,QUICK_WMATIC_USDC,0x6e7a5FAFcec6BB1e78bAE2A1F0B612012BF14827,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,WMATIC,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,USDC,0x9854e01432b348194e025DF773e6412892cBc900,0.00,0x8846715645a06a5c46309dc29623793d97795242,0.00,128959.41,NaN,35957.80750298302
14,QUICK_WBTC_USDC,0xF6a637525402643B0654a54bEAd2Cb9A83C8B498,0x1BFD67037B42Cf73acF2047067bd4F2C47D9BfD6,WBTC,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,USDC,0xBF0b0DEF82C1D473e6B8770458Ddc82f5C8C7504,18911.50,0xfb4c95568e1bf5683af1c7fa6dbaadaf675b555b,18911.50,12224160.83,8.07,22428.006305069288
15,QUICK_USDC_rUSD,0x5EF8747d1dc4839e92283794a10d448357973aC0,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,USDC,0xfC40a4F89b410a1b855b5e205064a38fC29F5eb5,rUSD,0x94d024C05E2eae6ee3C9E0711D3E18C80F8CebA8,10827.34,0xf3c05a107a61a95bfe6969c72fda06a7d539a6e0,10827.34,2728414.35,20.69,undefined
16,QUICK_USDC_MASK,0x253D637068Fbf11B18D0F2a1Bf3B167d37802687,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,USDC,0x2B9E7ccDF0F4e5B24757c1E1a80e311E34Cb10c7,MASK,0xDa734d661BEf168895EFB2aC0634950C7874B5Ec,5413.67,undefined,5413.67,445599.70,63.35,undefined
17,QUICK_USDC_QUICK,0x1F1E4c845183EF6d50E9609F16f6f9cAE43BC9Cb,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,USDC,0x831753DD7087CaC61aB5644b308642cc1c33Dc13,QUICK,0x939290Ed45514E82900BA767bBcfa38eE1067039,16209.85,0x48ae660893b52b876731d02b86d29b5e9c0bfd5b,16209.85,3211614.44,26.32,21199.58304632209
18,QUICK_QUICK_GMEE,0xFE4bA2ab8562b6204a17F19651C760818a361571,0x831753DD7087CaC61aB5644b308642cc1c33Dc13,QUICK,0xcf32822ff397Ef82425153a9dcb726E5fF61DCA7,GMEE,0x5454862d457d0e87f68Ff2eb6c2Ffb12FE5f254b,10827.34,undefined,10827.34,574573.74,98.26,undefined
19,QUICK_USDC_USDT,0x2cF7252e74036d1Da831d11089D326296e64a728,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,USDC,0xc2132D05D31c914a87C6611C10748AEb04B58e8F,USDT,0xAFB76771C98351Aa7fCA13B130c9972181612b54,13508.21,0xff01f27944bc27cd98bf792f8666ebd7901e4cc9,13508.21,18437127.14,3.82,16294.86480585063
20,QUICK_TCP_USDC,0xaD431d0BdE99e21d9848691615A0756a09Ed3dCE,0x032F85b8FbF8540a92B986d953e4C3A61C76d39E,TCP,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,USDC,0x43CdB843Bdc76DDfb9F5aE1B9F20424E9D77cED6,2712.03,undefined,2712.03,237278.59,59.60,undefined
21,QUICK_NEXO_WETH,0x10062ec62C0bE26cC9e2f50a1CF784a89ded075F,0x41b3966B4FF7b427969ddf5da3627d6AEAE9a48E,NEXO,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,0x1476331f814c00F1d15dc6187A0EB1e1E403D745,4078.42,0xb1dcd1a72ad0c6768d9e23bc7b8059ba2ab415b9,4078.42,3478392.65,6.11,undefined
22,QUICK_WETH_UNI,0xF7135272a5584Eb116f5a77425118a8B4A2ddfDb,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,0xb33EaAd8d922B1083446DC23f610c2567fB5180f,UNI,0x76cC4059Dd19518c377934CD799615B3543967fd,8115.31,0x58986318e2438e46ae5d4c0d727a298590956f4b,8115.31,5106405.59,8.29,undefined
