idx, lp_name, lp_address, token0, token0_name, token1, token1_name, pool, rewardAmount, duration 
51,QUICK_maUSDC_maYFI,0x0C7131aA808dbc1132515cE7B83fc3c84a603c91,0x9719d867A500Ef117cC201206B8ab51e794d3F82,maUSDC,0xe20f7d1f0eC39C4d5DB01f53554F2EF54c71f613,maYFI,0xe13876aAFb5cd2e162ec253499Eb414083a96Af2,0.000000000000745817,-63.88327546296296
52,QUICK_QUICK_maUSDC,0x1697D88Dda5e913D9a29111e858292855CA0d9cF,0x831753DD7087CaC61aB5644b308642cc1c33Dc13,QUICK,0x9719d867A500Ef117cC201206B8ab51e794d3F82,maUSDC,0x8df5AdD0eB677d12EA86C5f83DdB7e184b750116,0.001879629630375488,-63.883414351851854
53,QUICK_QUICK_WOLF,0x19E524d444F12DC572Bea6a45bd7E0Bd38818693,0x831753DD7087CaC61aB5644b308642cc1c33Dc13,QUICK,0x8f18dC399594b451EdA8c5da02d0563c0b2d0f16,WOLF,0x8732f213E8F82c6580e2579Dc2E3310aFF90E972,0.126697265785455845,-35.93827546296296
54,QUICK_QUICK_IGG,0x2E026b382bCCC90DF4e73985D1bfADB8ca4Ab13B,0x831753DD7087CaC61aB5644b308642cc1c33Dc13,QUICK,0xe6FC6C7CB6d2c31b359A49A33eF08aB87F4dE7CE,IGG,0x0aC274597134209b640A18Fc70FaE075D33D1d87,18.360385647417041146,6.074305555555555
55,QUICK_WMATIC_mOCEAN,0x5a94F81D25c73eDdBDD84b84E8F6D36C58270510,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,WMATIC,0x282d8efCe846A88B159800bd4130ad77443Fa1A1,mOCEAN,0xEEc558404E179dEb5561fB043D8fd0567227FDE7,9.926543239040971582,6.074166666666667
56,QUICK_SWAP_WETH,0xbA8a6d86cD5577426ffbEA6C40B7334650Ff3900,0x3809dcDd5dDe24B37AbE64A5a339784c3323c44F,SWAP,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,0x897Bc9871F1D1c520F7c200480b556f87D6638e7,0.2969299805966712,-42.935879629629625
57,QUICK_WETH_SUPER,0x0712323F8451Cf7acc1141083baa60cc70Dc32A8,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,0xa1428174F516F527fafdD146b883bB4428682737,SUPER,0x214249a7bd9a6C10AdfF8fAd70749ebf8108494a,7.305135323272539487,6.073888888888889
58,QUICK_ARIA20_QUICK,0x8075cda830EA117457f914b790DAF93F93c66136,0x46F48FbdedAa6F5500993BEDE9539ef85F4BeE8e,ARIA20,0x831753DD7087CaC61aB5644b308642cc1c33Dc13,QUICK,0xc74dAA25035577E20db7C1cDEb01bcfFfe4927Ac,2.341446410961787705,-28.94584490740741
59,QUICK_GFARM2_QUICK,0x065D609FF57E8Ce4eE5fbc3c040a442354E8A2E4,0x7075cAB6bCCA06613e2d071bd918D1a0241379E2,GFARM2,0x831753DD7087CaC61aB5644b308642cc1c33Dc13,QUICK,0x395c81AcB66aEfb84CAcc501Bd581f0B261e4Fc1,0.000014893774729252,-35.93912037037037
60,QUICK_QUICK_AGAr,0xba29f611473F3ecCAdb995d85a39b87677f620fE,0x831753DD7087CaC61aB5644b308642cc1c33Dc13,QUICK,0xF84BD51eab957c2e7B7D646A3427C5A50848281D,AGAr,0xa6b85D97853248973d11B9c806492D405D1B50e5,0.097583381796008667,-7.9900925925925925
61,QUICK_WMATIC_USDC,0x6e7a5FAFcec6BB1e78bAE2A1F0B612012BF14827,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,WMATIC,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,USDC,0x6C6920aD61867B86580Ff4AfB517bEc7a499A7Bb,122.805135575404498439,6.073321759259259
62,QUICK_AGA_QUICK,0x282b89e71325551A2B6D1D30cC10349ea0c79F12,0x033d942A6b495C4071083f4CDe1f17e986FE856c,AGA,0x831753DD7087CaC61aB5644b308642cc1c33Dc13,QUICK,0x4D637F2d946b4028705BEb436e66Bf1Ffb85C22D,0.156756456640586913,-21.970138888888886
63,QUICK_maUNI_maUSDC,0xca84c15C5F46d39EE3fd0cD9278CE19579424Dc2,0x8c8bdBe9CeE455732525086264a4Bf9Cf821C498,maUNI,0x9719d867A500Ef117cC201206B8ab51e794d3F82,maUSDC,0x3e9951ba9ea39FF1ACDCA838E1A294c7C8675b23,0.000000000000560289,-63.8849537037037
64,QUICK_HH_QUICK,0x4599Fa60065FfF34B0af5E5f66bEbBd9Ad137c94,0x521CddC0CBa84F14c69C1E99249F781AA73Ee0BC,HH,0x831753DD7087CaC61aB5644b308642cc1c33Dc13,QUICK,0xDdAFf21FC862dc1ecf805ca1CEBbfEae95b16E6D,0.006540480610430345,-49.904849537037045
65,QUICK_mOCEAN_QUICK,0xBFE3Bb39C514f74F37e20115785Bbe58089865a0,0x282d8efCe846A88B159800bd4130ad77443Fa1A1,mOCEAN,0x831753DD7087CaC61aB5644b308642cc1c33Dc13,QUICK,0xC29996f70BC8D7052287Ada2B7B7765360A69a32,0.109980968004331782,-21.970555555555553
66,QUICK_QUICK_DMT,0x3CB10463648e3F35ED7C5B64394d482A1B7287B5,0x831753DD7087CaC61aB5644b308642cc1c33Dc13,QUICK,0xd28449BB9bB659725aCcAd52947677ccE3719fD7,DMT,0xcb099768c2eB727f5380c9E7AF93153E8d0e3766,0.109915824117888585,-35.94009259259259
67,QUICK_HEX_QUICK,0xd6c1fE4e4Dd9a949c05c9B6904c353B87e3Cea3A,0x23D29D30e35C5e8D321e1dc9A8a61BFD846D4C5C,HEX,0x831753DD7087CaC61aB5644b308642cc1c33Dc13,QUICK,0x4E5317608D854104ffcC02F9741b52d1f07225Ac,7.090991724335545053,6.0724884259259255
68,QUICK_QUICK_BTU,0x7C3B697F63a17CCDCd450D6bdB93cAbCF9cff114,0x831753DD7087CaC61aB5644b308642cc1c33Dc13,QUICK,0xFdc26CDA2d2440d0E83CD1DeE8E8bE48405806DC,BTU,0x6065BAD6E8d8760b0cA729fCE35A98641CE1060C,0.030242588215521069,-21.970972222222226
69,QUICK_FSN_QUICK,0xC1950dA9E676d352954C1424B341AfcCF8C4c608,0x2bF9b864cdc97b08B6D79ad4663e71B8aB65c45c,FSN,0x831753DD7087CaC61aB5644b308642cc1c33Dc13,QUICK,0x631F21B329C958e6A522c7b857F22c0C5E013368,0.001566137576142146,-21.971122685185183
70,QUICK_ANY_QUICK,0xeb275d1d930F157504cca7D7AFCe38360C7302b5,0x6aB6d61428fde76768D7b45D8BFeec19c6eF91A8,ANY,0x831753DD7087CaC61aB5644b308642cc1c33Dc13,QUICK,0xD6E9C2576FEa298c5C9FA9F2cBC5f124c5f97625,15.418726877629329029,6.072060185185186
71,QUICK_QUICK_PLOT,0x5278a593fA07f7ec723B992d293F4EDC3Ae65927,0x831753DD7087CaC61aB5644b308642cc1c33Dc13,QUICK,0xe82808eaA78339b06a691fd92E1Be79671cAd8D3,PLOT,0x74A7fdA76A008276705c39B0599916ee8513965c,4.283426652064232817,-21.971412037037037
72,QUICK_USDC_PLOT,0x78FD833Ec4464d3d6d470E5853DBfC2de0Ca6F5b,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,USDC,0xe82808eaA78339b06a691fd92E1Be79671cAd8D3,PLOT,0xB0755c5b3594A9C8845EB383e6E05E7F49460141,0.834914129926055167,-49.905983796296304
73,QUICK_ELET_QUICK,0x592D8FAeA9e740FAcBd6115AbD92D2e6ACB2f8f1,0x07738Eb4ce8932CA961c815Cb12C9d4ab5Bd0Da4,ELET,0x831753DD7087CaC61aB5644b308642cc1c33Dc13,QUICK,0x0E5a923524fC0A14fA4ab108145e4a019D2f2C6a,0.216282907104753793,-35.94109953703704
74,QUICK_VISION_QUICK,0x52F31162e07C0158C5dDa8c922cA09B52881e471,0x034b2090b579228482520c589dbD397c53Fc51cC,VISION,0x831753DD7087CaC61aB5644b308642cc1c33Dc13,QUICK,0x859f1E2490B4F62C5D32cf9409e2bBF43dfA3B61,9.536724174952009409,-14.978125
75,QUICK_WETH_GAME,0x4b23803040321868fC2EeB6D3e9C353C3237031d,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,0x8d1566569d5b695d44a9a234540f68D393cDC40D,GAME,0x5554281f7e473d93779722e5aa4c2f62C11283fd,0.003367460373625023,-49.90642361111111
76,QUICK_maUSDC_maDAI,0x6Fc2a79b1f0c31Ec4DC4343157cBD8becb0f6aaF,0x9719d867A500Ef117cC201206B8ab51e794d3F82,maUSDC,0xE0b22E0037B130A9F56bBb537684E6fA18192341,maDAI,0x7131eBbC3e08E8e0D8938DFd36D3E76B874Fc75e,0.00000000000123882,-63.886805555555554
77,QUICK_maWETH_maUSDC,0x95E6c356C87A5AB6Cc415040F1C794e82015207E,0x20D3922b4a1A8560E1aC99FBA4faDe0c849e2142,maWETH,0x9719d867A500Ef117cC201206B8ab51e794d3F82,maUSDC,0x2Ee1eaE8fB3F5F56ABB882D48E2d767DA0211D8E,0.000000069634129646,-63.88693287037037
78,QUICK_CTSI_QUICK,0x4f4b7477850466d96CbCab5b74E58150ED0F2b24,0x2727Ab1c2D22170ABc9b595177B2D5C6E1Ab7B7B,CTSI,0x831753DD7087CaC61aB5644b308642cc1c33Dc13,QUICK,0x4AB627237c2ce3719Ca42940c641Cd3dDbC83C0A,0.011259816716725399,-14.978692129629628
79,QUICK_WMATIC_CTSI,0xB2E178Aa4fA1f0b263a636E8B61e10886FC1938b,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,WMATIC,0x2727Ab1c2D22170ABc9b595177B2D5C6E1Ab7B7B,CTSI,0x2d0D7FD1bFcbF01947fdc40B507BD73B0863f2D5,0.001837813835817049,-49.90697916666667
80,QUICK_WETH_IGG,0xBCDF529AeFb71797cF2E7Fb4792f5e11233Ec313,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,0xe6FC6C7CB6d2c31b359A49A33eF08aB87F4dE7CE,IGG,0x88D6E84D7220A001F031fA5C8b44E77F957Fe1cD,0.00881481481686003,-49.90712962962962
81,QUICK_QUICK_OM,0xdFA81e266fF54A7d9d26c5083f9631e685d833D7,0x831753DD7087CaC61aB5644b308642cc1c33Dc13,QUICK,0xC3Ec80343D2bae2F8E680FDADDe7C17E71E114ea,OM,0xe1fE89651932D84e7880651187547869CA524976,0.00142592592744694,-63.88751157407407
82,QUICK_WMATIC_BTU,0xE86368fC4e24FAd14517f0F0389560E9d1Af52Ac,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,WMATIC,0xFdc26CDA2d2440d0E83CD1DeE8E8bE48405806DC,BTU,0xe46E640b9E47080aE2cDe82B30500445C857d6d1,0.022748580807741815,-49.90740740740741
83,QUICK_maUSDC_maTUSD,0xc8f51057e1aeA189f18011A278432ef2dC6D204a,0x9719d867A500Ef117cC201206B8ab51e794d3F82,maUSDC,0xF4b8888427b00d7caf21654408B7CBA2eCf4EbD9,maTUSD,0xD854f08373a97237C7a830e1e34475535CB1eaDE,0.000000000000714093,-63.88778935185186
84,QUICK_maAAVE_maUSDC,0xaCe1E8B717202bC122a7d98C308824C33f4cC20D,0x823CD4264C1b951C9209aD0DeAea9988fE8429bF,maAAVE,0x9719d867A500Ef117cC201206B8ab51e794d3F82,maUSDC,0xe985c9416D05B3b3872d9e640C9590FaC37705Bd,0.001385416667380577,-63.88792824074074
85,QUICK_maUSDC_maUSDT,0x2EeA2D478787DFCAA4aa5398622556b9d775f194,0x9719d867A500Ef117cC201206B8ab51e794d3F82,maUSDC,0xDAE5F1590db13E3B40423B5b5c5fbf175515910b,maUSDT,0xA694345b2f208DA59ebF3fc6b66E97c0CA18C3E1,0.001677083334047304,-63.888078703703705
86,QUICK_DB_WETH,0xEeaC90Aa76960d0622ca5ae2528b5418f0Ec7Bb4,0x0e59D50adD2d90f5111aca875baE0a72D95B4762,DB,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,0xd437c3c9Ca21D634878BDDBf973bCFB23D280E86,0.002900462964017443,-63.88822916666667
87,QUICK_QUICK_DSLA,0x9c8e56e594831951dE0791577c0B9BF9AadFBb9e,0x831753DD7087CaC61aB5644b308642cc1c33Dc13,QUICK,0xa0E390e9ceA0D0e8cd40048ced9fA9EA10D71639,DSLA,0xB9Ce318ac54EC8b3aa17d18dFfb0EC3c46E88fef,0.113139219599975998,-35.94309027777778
88,QUICK_WMATIC_DB,0x8422afe8C0285c393DD0f63da1fB12642Fb154FD,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,WMATIC,0x0e59D50adD2d90f5111aca875baE0a72D95B4762,DB,0x35CEADEd1457aE4AaD028ff996DC5A889Ea8d7C1,0.005519329564098073,-63.88850694444444
89,QUICK_WETH_DMT,0x871ff6e567C63644Ad0399A8213580101E5D66F8,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,0xd28449BB9bB659725aCcAd52947677ccE3719fD7,DMT,0x255Df2Ae958aCe49eC9E24B59d5327c6D918C81b,0.010321759261019993,-49.90840277777778
90,QUICK_ELET_WMATIC,0x9ad3264517167936fC588954f87E6feD23535630,0x07738Eb4ce8932CA961c815Cb12C9d4ab5Bd0Da4,ELET,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,WMATIC,0xDa534f1282F832BAc82Ec4502dA6fAd7a60e63A3,0.004990740756475951,-49.90854166666667
91,QUICK_maUSDC_maLINK,0xd94cBaE5484f510A44d905956b590c9f5E668Ed0,0x9719d867A500Ef117cC201206B8ab51e794d3F82,maUSDC,0x98ea609569bD25119707451eF982b90E3eb719cD,maLINK,0x211B1312Bb797Ee7c7193AE87481E0B5f259c0a5,0.03783103431963738,-63.88893518518518
92,QUICK_AZUKI_QUICK,0xE17672606CF179278F63e15b8A4BcbF936058233,0x7CdC0421469398e0F3aA8890693d86c840Ac8931,AZUKI,0x831753DD7087CaC61aB5644b308642cc1c33Dc13,QUICK,0xfBCf532DeE2A6d2f45bD89419adaA07457d50CF9,0.000000000001179696,-63.88908564814815
93,QUICK_HEX_WETH,0x7a81AB0f4FBfCd8cbfc8E96eC8cad5E1e0c67c97,0x23D29D30e35C5e8D321e1dc9A8a61BFD846D4C5C,HEX,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,0x9Be3481DD287345Bb9C8B8DDC836e1D0054Edd46,0.005447189693224566,-49.908993055555555
94,QUICK_QUICK_CFi,0xa2DF4607DB485Ce3e79C01C12d100f202584786f,0x831753DD7087CaC61aB5644b308642cc1c33Dc13,QUICK,0xeCf8f2FA183b1C4d2A269BF98A54fCe86C812d3e,CFi,0x04cda3ed6750AAb11e2A50029460543E914dD81D,0.000725925926610993,-63.889375
95,QUICK_WETH_DSLA,0xEEB92E3cB8E38375E2c20201e9b9fB8740D0133f,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,0xa0E390e9ceA0D0e8cd40048ced9fA9EA10D71639,DSLA,0x4A47Ea19241058b1F960331c3f1a1B4BD7D4A584,0.003244105602062586,-63.88951388888888
96,QUICK_ZUZ_QUICK,0xcfB7FC1D8ECA39A1D4647e9E492DC5f651E4fD5A,0x232eaB56c4fB3f84c6Fb0a50c087c74b7B43c6Ad,ZUZ,0x831753DD7087CaC61aB5644b308642cc1c33Dc13,QUICK,0xC1B0A3f47f05A58a7D83855B9F9e8C5f4042dc8c,0.005842727526760979,-63.889652777777776
97,QUICK_WETH_OM,0xFF2BBcB399aD50bbD06DebAdd47D290933ae1038,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,0xC3Ec80343D2bae2F8E680FDADDe7C17E71E114ea,OM,0xA0218a57CC1D595aF0b79Af450f37fc4207dE94C,0.000457754631196588,-63.88980324074074
98,QUICK_PPDEX_QUICK,0xA945E334F25e869a13ca0BCf8e6828963B270938,0x127984b5E6d5c59f81DACc9F1C8b3Bdc8494572e,PPDEX,0x831753DD7087CaC61aB5644b308642cc1c33Dc13,QUICK,0xC6a6B2d95B99CA9c3149f8dF8f22E1e34fb75ccc,0.000020254631196589,-63.88993055555556
99,QUICK_QUICK_ZUT,0x8d4fde3403E6d2D6525aD1b4EA4680C7EDE00b79,0x831753DD7087CaC61aB5644b308642cc1c33Dc13,QUICK,0xe86E8beb7340659DDDCE61727E500e3A5aD75a90,ZUT,0x06c0b1461740a8570f755cf26e7B418862c3998B,0.001575817278126873,-63.89006944444444
100,QUICK_mDEF_QUICK,0x338B23D1A3F3A46d871A84b4467F20a0B023c03f,0x82B6205002ecd05e97642D38D61e2cFeaC0E18cE,mDEF,0x831753DD7087CaC61aB5644b308642cc1c33Dc13,QUICK,0xdE1140Ff770F83a59e91c3a04c6628D86e8414f2,0.000907407407791581,-63.890231481481486
101,QUICK_QUICK_DRC,0xEB951F0DA8148a0a3FAD7a568194FF9495Fc464B,0x831753DD7087CaC61aB5644b308642cc1c33Dc13,QUICK,0xFeD16c746CB5BFeD009730f9E3e6A673006105c7,DRC,0x86806771672fb51a04be7BcdC4546fC111BBbA57,0.906898294045771747,-14.981979166666667
